,dataid,status,foundation_pier_beam,foundation_slab,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_65_and_older,education_level,total_annual_income,pv_system_own,pv_system_size,pv_system_reason,pv_system_satisfied,pv_system_features_liked,pv_system_surprising_features,pv_system_questions_asked,pv_neg_factors_too_expensive,pv_neg_factors_uncertainty,pv_neg_factors_ugly,pv_neg_factors_resale_value_concerns,pv_neg_factors_none,pv_neg_factors_other,pv_pos_factors_independence,pv_pos_factors_no_emissions,pv_pos_rate_increase_protection,pv_pos_factors_none,pv_pos_factors_other,additional_solar_future,additional_solar_size,retrofits,retrofits_weather,hvac_sealed_duct_leak,energy_efficient_windows,new_hvac,added_space,new_dishwasher,new_clotheswasher,new_clothesdryer,new_refrigerator,new_oven,other_changes,hvac_central_air_gas_furnace,hvac_central_air_electric_heating,heat_pump_split,hvac_geothermal_heat_pump,hvac_window_unit_ac,hvac_ductless_minisplit,hvac_no_ans,ac_compressor_num,temp_setting_weekday_workday_sumr,temp_setting_weekday_morning_sumr,temp_setting_weekday_evening_sumr,temp_setting_weekday_sleeping_hr_sumr,temp_setting_weekend_daylight_sumr,temp_setting_weekday_workday_wintr,temp_setting_weekday_morning_wintr,temp_setting_weekday_evening_wintr,temp_setting_sleeping_hr_wintr,temp_setting_weekend_daylight_wintr,thermostat_brand,thermostat_is_programmable,thermostat_programming_level,any_annual_ac_svc,electronic_device_cable_box_number,electronic_device_dvr_number,electronic_device_router_number,electronic_device_gaming_sys_number,electronic_device_other,water_heater_type,water_heater_type_other,any_electric_vehicle,electric_vehicle_year,electric_vehicle_make,electric_vehicle_model,vehicle_chargn_home,vehicle_chargn_level2ev,vehicle_chargn_public,vehicle_chargn_work,vehicle_chargn_work_avail,vehicle_chargn_time,electric_vehicle_satisfied,electric_vehicle_features_liked,electric_vehicle_buy_reason_envir,electric_vehicle_buy_reason_save_money,electric_vehicle_buy_reason_new_tech_interest,electric_vehicle_buy_reason_performance,electric_vehicle_buy_reason_quietness,electric_vehicle_buy_reason_other_recommended,electric_vehicle_buy_again,any_family_frnd_living,any_family_frnd_living_details,have_dishwasher,have_clotheswasher_front_load,have_clotheswasher_top_load,have_water_softner,have_icemaker,have_swimming_pool,have_hot_tub,have_outdoor_sprinkler,have_landscape_water_feature,have_automated_drip_irrigation,have_water_garden,have_other_water_using_appliance,water_activity_watering_plants,water_activity_wash_vehicle,water_activity_wash_house_exterior,water_activity_other,water_line_broke_by_u,water_line_broke_by_someone,water_line_broke_by_u2,water_line_broke_by_someone2,low_level_water_leak_discovered_by_u,low_level_water_leak_discovered_by_someone,continuous_water_flow_discovered_by_you,continuous_water_flow_discovered_by_someone,continuous_water_flow_discovered_by_u2,continuous_water_flow_discovered_by_someone2,water_leak_caused_financial_cost,collect_water_rain,collect_water_rain_way,collect_water_rain_way_other,any_water_utility_prog_particiaption_no,any_water_utility_prog_particiaption_yes_rebates,any_water_utility_prog_particiaption_yes_coupons,any_water_utility_prog_particiaption_yes_consults,any_water_utility_prog_particiaption_other,any_water_utility_prog_particiaption_other2,any_irrigation_audit,any_water_conserve_prog,any_water_conserve_prog_useful,energy_saving_led,energy_saving_attic_insulation,energy_saving_efficient_windows,energy_saving_efficient_furnace,energy_saving_efficient_ac,energy_saving_efficient_water_heater,energy_saving_efficient_thermostat,energy_saving_add_caulking,energy_saving_replace_showerhead,energy_saving_renewable_sys,energy_saving_other,energy_spending_general_approach1,energy_spending_general_approach2,energy_spending_general_approach3,energy_development_oil,energy_development_wind,energy_development_natural_gas,energy_development_natural_gas_shale,energy_development_nuclear,energy_development_coal,energy_development_solar,energy_development_hydropower,energy_development_bioenergy,can_reduce_energy_consumption,know_steps_reduce_energy_consumption,cannot_reduce_energy_consumption,individual_responsible_energy_reduce,energy_reduce_regulation,energy_reduce_risky,can_lower_energy_use,energy_reduce_other_ways
223,9019,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,,2,Postgraduate degree,"$75,000 - $99,999",Yes,2.3kW,1.  Better forthe environment 2.  Save money over the life of the panels 3.  Lots of dollar help from the city and Pecan Project!,Very,Maintenance free.  Once they're up there's nothing to do but hose them off now and then.,Nothing.  They work about as we expected.,Cost and efficiency.  Whether we paid from the entire installation. Some are surprised we actually own the panels and that they are not a lease.,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,76,78,68,68,68,62,,Nest,Yes,Easy,Yes,None,None,None,,Living room lights often on during the day.  Two lamps on at night when we're out (not often).,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,,,,,,None,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,Install high-efficiency air conditioner,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Slightly agree,Slightly agree,Strongly oppose,Neither,Strongly oppose,,Neither,Strongly oppose,Strongly support,Strongly support,Strongly support,Neither,Slightly agree,Slightly disagree,Slightly disagree,Neither,Strongly disagree,Slightly agree,
224,9052,Complete,,Slab,,,Tuesday,,Thursday,,,,,Hispanic,,,,,2,,,,1,1,,Postgraduate degree,"$100,000 - $149,999",Yes,6,rebates; carbon footprint reduction,Very,lower bills; lower carbon footprint,the savings by having it,"size, cost, ease of use",,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,77,77,77,77,77,70,70,70,70,70,Nest,Yes,Easy,No,None,None,1,1,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,,Someone you know,,Someone you know,,Someone you know,You,,,Someone you know,,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Slightly agree,Strongly agree,Strongly oppose,Strongly support,Neither,Slightly oppose,Strongly oppose,Strongly oppose,Strongly support,Neither,Slightly support,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Neither,Slightly agree,
225,9080,Complete,Pier and beam,Slab,,Monday,Tuesday,Wednesday,Thursday,,,,Caucasian,,,,,1,,,1,,,2,,College graduate,"$50,000 - $74,999",No,,,,,,,,,,,,roof angle not acceptable for govt subsidy,,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,,,Installed new HVAC system,,,,,,,,,,Heat Pump,,,,,2,77,77,77,76,77,68,68,68,68,68,Honeywell,No,Moderately difficult,No,,,1,,"two desktop computers--one for work, one for personal use.",Electric - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,automatic cattle water feeders,Hand watering plants,Hand washing vehicles,Pressure washing exterior structures or sidewalks,,You,,,,,,You,,,,None.  We have a well.,Yes,Other - Write In,cattle ponds,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,,,wood stove for whole-house heating in winter,Neither,Slightly agree,Neither,Neither,Strongly support,Neither,Slightly oppose,Neither,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,
226,9085,Complete,,,none,,,,,,,,Caucasian,,,,,,2,,,,2,,,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,Too expensive,,,,,,Independence from the utility,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,,,,,,64,68,68,66,66,Luxpro,No,Moderately difficult,No,1,1,1,,,Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,,,,Outdoor sprinkler system,,,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,,Someone you know,,,You,Someone you know,You,Someone you know,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,Replace showerhead with water-efficient model,,,Strongly agree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Neither,Slightly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Neither,Slightly disagree,Neither,Strongly disagree,Strongly disagree,Strongly agree,
227,9090,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,1,2,2,Postgraduate degree,"$300,000 - $1,000,000",Yes,10,to lower energy bills and to use non carbon based fuel,Very,they generate electricity,nothing,people want to know how much it costs to put solar panels on their roofs ,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,3,78,78,78,74,78,68,70,70,65,68,Aprilaire,Yes,Moderately difficult,Yes,4,3,1,1,no,Gas - tankless,,Yes,2014,Tesla,S,0%,100%,0%,0%,Yes,I manually delay the time I start charging my vehicle,Very satisfied,"Power, speed, performance",Environmental benefit,,Interest in new technologies,Acceleration and performance of EVâ€™s,Quietness,,Yes,No,,Dishwashing machine,,Clothes washing machine that is top loading,Water softener,Automatic ice maker (in your freezer),Swimming pool,,Outdoor sprinkler system,,Automated drip irrigation,Water garden or pond,,Hand watering plants,,,,,Someone you know,,Someone you know,,Someone you know,You,,,,"Broken water heater ran until water flowed out of the house, when someone alerted the homeowner who was out of town",Yes,Other - Write In,special rain catchment system,No,,,,,,No,No,we attended a xeriscape program from Texas A & M,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Neither,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Neither,Slightly support,Neither,Neither,Neither,Neither,Neither,Strongly disagree,Neither,
228,9134,Complete,,Slab,none,,,,,,Asian/Pacific Islander,,,,,Other,,1,,,,,2,,,Postgraduate degree,"$150,000 - $299,000",Yes,5 kW,"Long term investment, environmental concerns.",Somewhat satisfied,Reliable and no hassle.,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,90,78,78,77,78,68,76,75,75,76,,Yes,Moderately difficult,No,1,None,1,2,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,,You,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,Install a smart thermostat,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Slightly agree,Neither,Strongly oppose,Strongly support,Strongly oppose,Strongly oppose,Slightly support,Strongly oppose,Strongly support,Slightly support,Neither,Slightly disagree,Neither,Neither,Slightly agree,Neither,Slightly disagree,Slightly agree,
229,9143,Complete,Pier and beam,,,Monday,,Wednesday,,Friday,,,Caucasian,,,,,,,,,,1,1,,Postgraduate degree,"$150,000 - $299,000",No,,,,,,,,Not sure how much I would benefit,,,,,,Emission-free electricity,,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",,,,,,,,,,,Split system with gas furnace,,,,,,,1,76,76,76,70,76,68,68,68,68,68,Nest,Yes,Easy,No,2,1,1,1,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,,,,,,,Yes,Large cistern,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,,,,,,Slightly agree,Slightly agree,Strongly agree,Neither,Strongly support,Strongly support,Strongly support,Slightly oppose,Slightly oppose,Strongly support,Strongly support,Neither,Slightly agree,Slightly agree,Neither,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,
230,9325,Complete,,Slab,none,,,,,,,,Caucasian,,,,,4,2,0,0,0,2,0,0,Postgraduate degree,"$150,000 - $299,000",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",Sealed duct leaks on HVAC system,,Installed new HVAC system,,,,,,,,Split system with gas furnace,,,,,,,1,74,73,72,74,72,70,72,74,67,69,Honeywell,No,Very difficult,Yes,None,None,1,1,,Gas - tank,,Yes,2016,Nissan,Leaf,100%,,,,Yes,When I arrive home,Very satisfied,Impressive technology,Environmental benefit,Saving money on gasoline,Interest in new technologies,Acceleration and performance of EVâ€™s,Quietness,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,Someone you know,,Someone you know,You,Someone you know,,,,No,,,No,,,,,,No,Yes,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,Install high-efficiency furnace,Install high-efficiency air conditioner,,,,Replace showerhead with water-efficient model,,,Strongly agree,Strongly agree,Strongly agree,Neither,Strongly support,Neither,,Neither,Strongly oppose,Strongly support,Strongly support,Strongly support,Neither,Slightly agree,Strongly disagree,Strongly disagree,Neither,Neither,Neither,
231,9333,Complete,,Slab,none,,,,,,,,Caucasian,,,,,,1,,,,1,,,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,Too many trees,,Emission-free electricity,,,,No,,Yes,,,,,Remodeled 250 square foot outbuilding from seldom used art studio to studio apartment -added a full bath,,,,,,Installed tankless electric water heater in April 2017,Split system with gas furnace,,,,,Mini-split system,,3,78,72,73,70,75,75,72,73,70,75,Nest,Yes,Easy,No,1,1,1,,I have a 5-person hot-tub/spa that is usually turned on most of the year - other than July-Sept.,Electric - tankless,,Yes,2015,Chevrolet,Volt,100%,,,,No,When I arrive home,Very satisfied,Environmental and societal benefits,Environmental benefit,,,,,Recommendations from other EV owners,No,Yes,My son lives with me every other week in the summer and every other weekend (Thurs-Sun) plus every Thurs during the school year. - It's complicated!,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,Hot tub,,,,,,Hand watering plants,,,Above-ground portable pool for kids (12 ft diameter x 30\ tall),,,,,,,You,,You,,Leaky toilet flapper caused high water bill for almost a year due to one month of excessive waste-water volume. ,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,Install a high-efficiency tankless water heater,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Strongly support,Slightly oppose,Neither,Slightly oppose,Strongly support,Slightly support,Strongly support,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Neither,Strongly disagree,Strongly agree,
232,9356,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,2,,0,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,Sealed duct leaks on HVAC system,,Installed new HVAC system,,,Installed a new clothes-washer,Installed a new clothes-dryer,Installed a new refrigerator,,,,,Heat Pump,,Window unit,,,1,75,74,74,73,75,67,68,67,68,68,Lennox (loved our nest but now won't work with new AC unit),Yes,Very difficult,No,4,4,1,None,,Electric - tank,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,,,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,Install high-efficiency air conditioner,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neither,Strongly support,Slightly support,Strongly support,Slightly support,Slightly oppose,Strongly support,Strongly support,Slightly support,Slightly agree,Slightly agree,Neither,Slightly agree,Slightly disagree,Slightly agree,Neither,
233,9412,Complete,Pier and beam,,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,2,,,,,2,,,College graduate,"$50,000 - $74,999",No,,,,,,,,,,,None,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,78,78,70,70,70,70,70,Austin Energy,Yes,Easy,No,None,None,1,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,,,,,,,,,Hand watering plants,,,,,Someone you know,You,,,,,Someone you know,,Someone you know,Old water valve immediately behind the water meter had finally corroded and created the leak.  House was built in 1949.,Yes,Large cistern,,,Yes - rebates,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,Replace showerhead with water-efficient model,,,Slightly disagree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Slightly support,Slightly oppose,Slightly support,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Neither,Slightly disagree,Neither,Slightly disagree,Strongly disagree,Slightly agree,
234,9462,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,,2,College graduate,"$100,000 - $149,999",No,,,,,,,,Not sure how much I would benefit,Don't like the way they look,,,,Independence from the utility,,,,would only consider those that also have battery backup,No,,Yes,,,,,,,,,,,Installed new HVAC for part of house - approx 40% of capacity,Split system with gas furnace,,,,,,,2,77,77,77,75,77,73,73,73,67,73,"Honeywell (1994), Trane (2015)",Yes,Moderately difficult,No,1,1,1,None,"I have 2 1500 watt UPS devices - 1 for computer/monitor, 1 for TV/DVR.",Gas - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,Landscape water feature with water pump,,,,Hand watering plants,,,,,Someone you know,You,Someone you know,,Someone you know,,Someone you know,,,Cracked  sprinkler source (at city water pressure) line.  Drained into existing French drain lines so not discovered until large water bill.,No,,,No,,,,,,Yes,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly support,Strongly support,Slightly support,Slightly support,Slightly support,Strongly oppose,Strongly support,Slightly support,Strongly support,Strongly agree,Strongly agree,Neither,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Our household derives substantial income from Oil/Gas royalties.  We pay more for electricity because we opt to use 100% renewable sources.
235,9484,Partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,9548,Complete,Pier and beam,,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,2,,,,,2,,2,Postgraduate degree,,No,,,,,,,,Not sure how much I would benefit,,,,Unsure how power company would react to this,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,Sealed duct leaks on HVAC system,,Installed new HVAC system,,Installed a new dishwasher,Installed a new clothes-washer,Installed a new clothes-dryer,,,,Split system with gas furnace,,,,,,,3,80,80,80,80,80,72,72,72,72,72,One Nest; Two Carriers?,Yes,Moderately difficult,No,4,2,1,None,,Gas - tankless,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,Hand washing vehicles,Pressure washing exterior structures or sidewalks,,,Someone you know,You,,,Someone you know,,Someone you know,,Someone you know,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,Install high-efficiency furnace,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,,,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly support,Slightly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neither,Slightly disagree,Slightly agree,
237,9605,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,0,2,College graduate,,No,,,,,,,,,,,,Large trees block the sun. ,,Emission-free electricity,,,,No,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,78,78,68,68,68,68,68,Honeywell,No,,No,1,1,1,None,See example,Gas - tank,,,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,Water softener,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,Someone you know,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,Replace showerhead with water-efficient model,,,Neither,Slightly agree,Strongly agree,Slightly support,Strongly support,Slightly support,Slightly support,Slightly support,Neither,Strongly support,Strongly support,Slightly support,Slightly disagree,Slightly agree,Slightly agree,Neither,Slightly agree,Strongly agree,Slightly disagree,
238,9609,Complete,Pier and beam,,none,,,,,,,,Caucasian,,,,,,,,,,,,1,Some college/trade/vocational school,"$75,000 - $99,999",No,,,,,,,Too expensive,,,,,,,,,,lower electric bills,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,82,76,77,76,77,60,68,70,68,70,Nest,Yes,Easy,No,1,None,1,None,"Refrigerator, Aquarium light and pump",Gas - tankless,,Yes,2013,Chevrolet,Volt,0%,90%,10%,0%,No,I manually delay the time I start charging my vehicle,Very satisfied,Environmental and societal benefits,Environmental benefit,Saving money on gasoline,,,,Recommendations from other EV owners,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,You,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Slightly agree,Slightly support,Slightly support,Slightly support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Slightly support,Neither,Slightly agree,Neither,Slightly agree,Slightly agree,Slightly disagree,Neither,
239,9647,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,2,,,,,2,,Postgraduate degree,"$150,000 - $299,000",Yes,6.3,Save energy & cost. Reduce environmental impact of our energy use,Very,no maintenance required monitoring service keeps track of output,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,2,78,74,74,74,74,68,70,70,68,68,nest,Yes,Easy,No,1,None,1,None,"Fridge, chest freezer, ice machine, pool pumps",Gas - tank,,Yes,2017,Tesla,Model S,0%,100%,0%,0%,I work from home,When I arrive home,Very satisfied,"Power, speed, performance",Environmental benefit,Saving money on gasoline,Interest in new technologies,Acceleration and performance of EVâ€™s,Quietness,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),Swimming pool,,Outdoor sprinkler system,,,,,Hand watering plants,Hand washing vehicles,Pressure washing exterior structures or sidewalks,,You,,,,,,,,,,"Broken pipe in lawn between our meter and the irrigation system. Installer did not glue one joint and after 8 years, it worked lose and made a mess in the yard. It cost about $500 to fix.",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Strongly agree,Slightly agree,Slightly oppose,Strongly support,Slightly oppose,Slightly oppose,Neither,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Neither,Slightly disagree,Neither,Strongly disagree,Slightly agree,
240,9654,Complete,Pier and beam,,none,,,,,,,,Caucasian,,,,,0,0,0,0,0,1,0,0,College graduate,"$75,000 - $99,999",No,,,,,,,Too expensive,,,,,,,Emission-free electricity,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,88,74,75,74,76,78,78,78,76,66,Nest,Yes,Easy,No,1,1,1,None,N/A,Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,Automated drip irrigation,,,Hand watering plants,,Pressure washing exterior structures or sidewalks,,,,,Someone you know,,,You,Someone you know,You,Someone you know,"When I had a drip irrigation system installed I noticed a significant increase in my water bill, more than double and the system was not turned programmed to be on at that point. I now hand-water my outside plants. ",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,Install a smart thermostat,,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly support,Slightly oppose,Neither,Slightly oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Neither,Slightly agree,Slightly agree,Slightly disagree,Neither,
241,9699,Complete,,Slab,,Monday,Tuesday,Wednesday,,,,,Caucasian,,,,,0,0,0,0,0,0,0,1,Postgraduate degree,"$20,000 - $34,999",No,,,,,,,,Not sure how much I would benefit,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,,,Installed new HVAC system,,,Installed a new clothes-washer,Installed a new clothes-dryer,,,,Split system with gas furnace,,,,,,,1,83,80,80,"On, but no temperature control",80,65,70,70,"Off, or do not have heating system",70,Honeywell,Yes,Moderately difficult,No,None,None,1,None,Lights at various times.  Porch light all the time.  Toaster and coffee pot.,Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,,,,,,,,,Hand watering plants,,,,,Someone you know,You,,,Someone you know,,Someone you know,You,,slow leak under the lavatory. forgot to turn off hose one night,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,Install high-efficiency furnace,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Neither,Strongly support,Slightly oppose,,Strongly support,Strongly oppose,Strongly support,Neither,Neither,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,
